

辞書,文境界,書字形（＝表層形）,語彙素,語彙素読み,品詞,活用型,活用形,発音形出現形,仮名形出現形,語種,書字形(基本形),語形(基本形),
現代語,B,農地,農地,ノウチ,名詞-普通名詞-一般,,,ノーチ,ノウチ,漢,農地,ノウチ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,農産,農産,ノウサン,名詞-普通名詞-一般,,,ノーサン,ノウサン,漢,農産,ノウサン
現代語,I,物,物,ブツ,接尾辞-名詞的-一般,,,ブツ,ブツ,漢,物,ブツ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,生産,生産,セイサン,名詞-普通名詞-サ変可能,,,セーサン,セイサン,漢,生産,セイサン
現代語,I,する,為る,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル
現代語,I,機能,機能,キノウ,名詞-普通名詞-サ変可能,,,キノー,キノウ,漢,機能,キノウ
現代語,I,だけ,だけ,ダケ,助詞-副助詞,,,ダケ,ダケ,和,だけ,ダケ
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,なく,無い,ナイ,形容詞-非自立可能,形容詞,連用形-一般,ナク,ナク,和,ない,ナイ
現代語,I,，,，,,補助記号-読点,,,,,記号,，,
現代語,I,生物,生物,セイブツ,名詞-普通名詞-一般,,,セーブツ,セイブツ,漢,生物,セイブツ
現代語,I,多様,多様,タヨウ,形状詞-一般,,,タヨー,タヨウ,漢,多様,タヨウ
現代語,I,性,性,セイ,接尾辞-名詞的-一般,,,セー,セイ,漢,性,セイ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,維持,維持,イジ,名詞-普通名詞-サ変可能,,,イジ,イジ,漢,維持,イジ
現代語,I,する,為る,スル,動詞-非自立可能,サ行変格,連体形-一般,スル,スル,和,する,スル
現代語,I,機能,機能,キノウ,名詞-普通名詞-サ変可能,,,キノー,キノウ,漢,機能,キノウ
現代語,I,も,も,モ,助詞-係助詞,,,モ,モ,和,も,モ
現代語,I,有し,有する,ユウスル,動詞-一般,サ行変格,連用形-一般,ユーシ,ユウシ,混,有する,ユウスル
現代語,I,て,て,テ,助詞-接続助詞,,,テ,テ,和,て,テ
現代語,I,いる,居る,イル,動詞-非自立可能,上一段-ア行,終止形-一般,イル,イル,和,いる,イル
現代語,I,．,．,,補助記号-句点,,,,,記号,．,
現代語,I,特に,特に,トクニ,副詞,,,トクニ,トクニ,混,特に,トクニ
現代語,I,農地,農地,ノウチ,名詞-普通名詞-一般,,,ノーチ,ノウチ,漢,農地,ノウチ
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,辺縁,辺縁,ヘンエン,名詞-普通名詞-一般,,,ヘンエン,ヘンエン,漢,辺縁,ヘンエン
現代語,I,部,部,ブ,名詞-普通名詞-助数詞可能,,,ブ,ブ,漢,部,ブ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,，,，,,補助記号-読点,,,,,記号,，,
現代語,I,管理,管理,カンリ,名詞-普通名詞-サ変可能,,,カンリ,カンリ,漢,管理,カンリ
現代語,I,・,・,,補助記号-一般,,,,・,記号,・,
現代語,I,土地,土地,トチ,名詞-普通名詞-一般,,,トチ,トチ,漢,土地,トチ
現代語,I,利用,利用,リヨウ,名詞-普通名詞-サ変可能,,,リヨー,リヨウ,漢,利用,リヨウ
現代語,I,・,・,,補助記号-一般,,,,・,記号,・,
現代語,I,景観,景観,ケイカン,名詞-普通名詞-一般,,,ケーカン,ケイカン,漢,景観,ケイカン
現代語,I,構造,構造,コウゾウ,名詞-普通名詞-一般,,,コーゾー,コウゾウ,漢,構造,コウゾウ
現代語,I,など,など,ナド,助詞-副助詞,,,ナド,ナド,和,など,ナド
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,違い,違い,チガイ,名詞-普通名詞-一般,,,チガイ,チガイ,和,違い,チガイ
現代語,I,を,を,ヲ,助詞-格助詞,,,オ,ヲ,和,を,ヲ
現代語,I,反映,反映,ハンエイ,名詞-普通名詞-サ変可能,,,ハンエー,ハンエイ,漢,反映,ハンエイ
現代語,I,し,為る,スル,動詞-非自立可能,サ行変格,連用形-一般,シ,シ,和,する,スル
現代語,I,た,た,タ,助動詞,助動詞-タ,連体形-一般,タ,タ,和,た,タ
現代語,I,複雑,複雑,フクザツ,名詞-普通名詞-形状詞可能,,,フクザツ,フクザツ,漢,複雑,フクザツ
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,多様,多様,タヨウ,形状詞-一般,,,タヨー,タヨウ,漢,多様,タヨウ
現代語,I,な,だ,ダ,助動詞,助動詞-ダ,連体形-一般,ナ,ナ,和,だ,ダ
現代語,I,生態,生態,セイタイ,名詞-普通名詞-一般,,,セータイ,セイタイ,漢,生態,セイタイ
現代語,I,系,系,ケイ,接尾辞-名詞的-一般,,,ケー,ケイ,漢,系,ケイ
現代語,I,で,だ,ダ,助動詞,助動詞-ダ,連用形-一般,デ,デ,和,だ,ダ
現代語,I,あり,有る,アル,動詞-非自立可能,五段-ラ行,連用形-一般,アリ,アリ,和,ある,アル
現代語,I,（,（,,補助記号-括弧開,,,,,記号,（,
現代語,I,LeCoeuretal,,,感動詞,,,,,,,　
現代語,I,.,．,,補助記号-句点,,,,,記号,.,
現代語,I,2002,,,名詞,,,,,,,　
現代語,I,;,,,名詞,,,,,,,　
現代語,I,Tscharntkeetal,,,名詞,,,,,,,　
現代語,I,.,．,,補助記号-句点,,,,,記号,.,
現代語,I,2005,,,名詞,,,,,,,　
現代語,I,）,）,,補助記号-括弧閉,,,,,記号,）,
現代語,I,，,，,,補助記号-読点,,,,,記号,，,
現代語,I,この,此の,コノ,連体詞,,,コノ,コノ,和,この,コノ
現代語,I,うち,内,ウチ,名詞-普通名詞-副詞可能,,,ウチ,ウチ,和,うち,ウチ
現代語,I,半,半,ハン,名詞-普通名詞-一般,,,ハン,ハン,漢,半,ハン
現代語,I,自然,自然,シゼン,名詞-普通名詞-一般,,,シゼン,シゼン,漢,自然,シゼン
現代語,I,草原,草原,ソウゲン,名詞-普通名詞-一般,,,ソーゲン,ソウゲン,漢,草原,ソウゲン
現代語,I,に,に,ニ,助詞-格助詞,,,ニ,ニ,和,に,ニ
現代語,I,は,は,ハ,助詞-係助詞,,,ワ,ハ,和,は,ハ
現代語,I,多く,多く,オオク,名詞-普通名詞-副詞可能,,,オーク,オオク,和,多く,オオク
現代語,I,の,の,ノ,助詞-格助詞,,,ノ,ノ,和,の,ノ
現代語,I,生物,生物,セイブツ,名詞-普通名詞-一般,,,セーブツ,セイブツ,漢,生物,セイブツ
